text,sentiment
"I absolutely loved this movie! The acting was superb.",1
"Worst experience ever. The service was terrible and slow.",0
"The new update is amazing, everything works so much better now.",1
"I'm very disappointed with the quality of this product. It broke in a week.",0
"Great food and even better atmosphere. Highly recommend!",1
"I hate how complicated this app is to navigate.",0
"The concert was life-changing; I will never forget it.",1
"Boring and predictable plot. I fell asleep halfway through.",0
"This is the best purchase I've made all year!",1
"Completely useless. Do not waste your money on this.",0
"The staff was incredibly friendly and helpful.",1
"The packaging was damaged and the item was scratched.",0
"A true masterpiece of modern cinema.",1
"Terrible customer support. They never respond to emails.",0
"I am so happy with how this turned out!",1
"Avoid this place at all costs. Overpriced and dirty.",0
"The interface is sleek and very user-friendly.",1
"I regret buying this. It doesn't work as advertised.",0
"Excellent value for money. Will buy again.",1
"Poor quality material. It felt cheap and flimsy.",0
