review,sentiment
this  was an absolute masterpiece with stunning visuals and a brilliant cast,1
i hated every minute of this  it was boring slow and the  was terrible,0
a truly inspiring story that moved me to tears the direction was flawless,1
waste of money and time the plot made no sense and the ending was frustrating,0
the cinematography was breathtaking and the soundtrack was perfectly composed,1
i fell asleep halfway through this is easily the worst  of the year,0
an incredible performance by the lead  a must for all cinema lovers,1
the script was weak and the special effects looked incredibly cheap and fake,0
i loved the character development and the witty dialogue highly recommended,1
avoid this  at all costs it was a complete disaster from start to finish,0
a beautiful tale of love and friendship it left me feeling so happy,1
disappointing and predictable i expected much more from such a famous director,0
