label,text
0,"Hi, are we still meeting for coffee at 5 PM today? Let me know."
1,WINNER! You have been selected for a Rs.10000 cash prize. Click here to claim now!
0,"Can you please send over the project report by the end of the day?"
1,"URGENT: Your account has been compromised. Verify your details immediately at this link."
0,"The team meeting has been rescheduled to tomorrow morning at 10 AM."
1,"Get a free luxury watch with every purchase! Limited time offer, buy now."
0,"I'll be a bit late for dinner, don't wait up for me."
1,"Double your income working from home! No experience required. Join today."
0,"Thanks for the update on the schedule. See you then."
1,"RE: Claim your free gift card inside! Open now for a special surprise."
