title,text,label
NASA Finds City on Mars,astronauts discovered a hidden city with green buildings and flying cars under the martian surface yesterday,0
Federal Reserve Raises Rates,the central bank increased interest rates by  basis points today to combat rising inflation across the country,1
Local Man Grows Money Tree,a gardener in ohio claims he planted a dollar bill and now harvests  bills every morning from a tree,0
Tech Giant Announces New Phone,the latest smartphone features a  battery life and a titanium frame for better durability and performance,1
Secret Cure for All Diseases Found,doctors revealed a magic potion made of lemon and salt that cures every known illness instantly without medicine,0
Election Results Confirmed,the electoral commission has finalized the vote count and declared the official winner of the regional race,1
Aliens To Visit Earth Tomorrow,a leaked document from the government says a massive ufo will land in new york city at noon tomorrow,0
Stock Market Hits Record High,investors are celebrating as the dow jones industrial average reached its highest point in history today,1
Celebrity Secretly a Robot,a makeup artist claims a famous actors skin peeled off to reveal metal wires and circuit boards during filming,0
New Study on Coffee Benefits,researchers found that drinking two cups of coffee a day can improve heart health and boost memory functions,1
Man Wins Lottery 10 Times in Row,a lucky player used a secret mathematical formula to win the jackpot ten times in a single week in las vegas,0
Climate Accord Signed by Nations,leaders from  countries met in geneva to sign a new agreement aimed at reducing carbon emissions by,1
