title,text,label
"NASA Finds City on Mars","Astronauts discovered a hidden city with green buildings and flying cars under the Martian surface yesterday.",0
"Federal Reserve Raises Rates","The central bank increased interest rates by 25 basis points today to combat rising inflation across the country.",1
"Local Man Grows Money Tree","A gardener in Ohio claims he planted a dollar bill and now harvests $100 bills every morning from a tree.",0
"Tech Giant Announces New Phone","The latest smartphone features a 48-hour battery life and a titanium frame for better durability and performance.",1
"Secret Cure for All Diseases Found","Doctors revealed a magic potion made of lemon and salt that cures every known illness instantly without medicine.",0
"Election Results Confirmed","The electoral commission has finalized the vote count and declared the official winner of the regional race.",1
"Aliens To Visit Earth Tomorrow","A leaked document from the government says a massive UFO will land in New York City at noon tomorrow.",0
"Stock Market Hits Record High","Investors are celebrating as the Dow Jones Industrial Average reached its highest point in history today.",1
"Celebrity Secretly a Robot","A makeup artist claims a famous actor's skin peeled off to reveal metal wires and circuit boards during filming.",0
"New Study on Coffee Benefits","Researchers found that drinking two cups of coffee a day can improve heart health and boost memory functions.",1
"Man Wins Lottery 10 Times in Row","A lucky player used a secret mathematical formula to win the jackpot ten times in a single week in Las Vegas.",0
"Climate Accord Signed by Nations","Leaders from 50 countries met in Geneva to sign a new agreement aimed at reducing carbon emissions by 2030.",1
